tag,zeit,verbrauch_haushalt,produktion_solar,panels_online,eigenverbrauch,einspeisung,netzbezug
2024-07-05,19:00,2.31,0.75,16,0.75,0.0,1.56
2024-07-05,20:00,1.87,0.0,16,0.0,0.0,1.87
2024-07-05,21:00,2.04,0.0,16,0.0,0.0,2.04
2024-07-05,22:00,0.37,0.0,16,0.0,0.0,0.37
2024-07-05,23:00,0.72,0.0,16,0.0,0.0,0.72
2024-07-06,00:00,0.26,0.0,16,0.0,0.0,0.26
2024-07-06,01:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-06,02:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-06,03:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-06,04:00,0.23,0.0,16,0.0,0.0,0.23
2024-07-06,05:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-06,06:00,1.3,0.0,15,0.0,0.0,1.3
2024-07-06,07:00,1.52,0.31,16,0.31,0.0,1.21
2024-07-06,08:00,1.47,2.43,16,1.47,0.9600000000000002,0.0
2024-07-06,09:00,0.19,3.49,16,0.19,3.3000000000000003,0.0
2024-07-06,10:00,0.43,4.38,16,0.43,3.9499999999999997,0.0
2024-07-06,11:00,0.44,5.05,16,0.44,4.609999999999999,0.0
2024-07-06,12:00,0.61,5.46,16,0.61,4.85,0.0
2024-07-06,13:00,0.12,1.4,16,0.12,1.2799999999999998,0.0
2024-07-06,14:00,0.51,3.28,16,0.51,2.7699999999999996,0.0
2024-07-06,15:00,0.46,3.03,16,0.46,2.57,0.0
2024-07-06,16:00,0.67,1.09,16,0.67,0.42000000000000004,0.0
2024-07-06,17:00,1.81,3.49,16,1.81,1.6800000000000002,0.0
2024-07-06,18:00,1.76,2.43,16,1.76,0.6700000000000002,0.0
2024-07-06,19:00,1.69,1.25,16,1.25,0.0,0.43999999999999995
2024-07-06,20:00,1.23,0.0,16,0.0,0.0,1.23
2024-07-06,21:00,1.9,0.0,16,0.0,0.0,1.9
2024-07-06,22:00,0.8,0.0,16,0.0,0.0,0.8
2024-07-06,23:00,0.46,0.0,16,0.0,0.0,0.46
2024-07-07,00:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-07,01:00,0.3,0.0,16,0.0,0.0,0.3
2024-07-07,02:00,0.12,0.0,16,0.0,0.0,0.12
2024-07-07,03:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-07,04:00,0.14,0.0,16,0.0,0.0,0.14
2024-07-07,05:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-07,06:00,1.52,0.0,16,0.0,0.0,1.52
2024-07-07,07:00,1.22,1.25,16,1.22,0.030000000000000027,0.0
2024-07-07,08:00,1.73,2.43,16,1.73,0.7000000000000002,0.0
2024-07-07,09:00,0.59,3.49,16,0.59,2.9000000000000004,0.0
2024-07-07,10:00,0.75,4.38,16,0.75,3.63,0.0
2024-07-07,11:00,0.29,5.05,16,0.29,4.76,0.0
2024-07-07,12:00,0.62,3.28,16,0.62,2.6599999999999997,0.0
2024-07-07,13:00,0.4,5.6,16,0.4,5.199999999999999,0.0
2024-07-07,14:00,0.71,5.46,16,0.71,4.75,0.0
2024-07-07,15:00,0.38,3.03,16,0.38,2.65,0.0
2024-07-07,16:00,0.58,1.09,16,0.58,0.5100000000000001,0.0
2024-07-07,17:00,2.1,3.49,16,2.1,1.3900000000000001,0.0
2024-07-07,18:00,2.36,2.43,16,2.36,0.07000000000000028,0.0
2024-07-07,19:00,1.99,1.25,16,1.25,0.0,0.74
2024-07-07,20:00,1.94,0.0,16,0.0,0.0,1.94
2024-07-07,21:00,2.09,0.0,16,0.0,0.0,2.09
2024-07-07,22:00,0.56,0.0,16,0.0,0.0,0.56
2024-07-07,23:00,0.66,0.0,16,0.0,0.0,0.66
2024-07-08,00:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-08,01:00,0.3,0.0,16,0.0,0.0,0.3
2024-07-08,02:00,0.19,0.0,16,0.0,0.0,0.19
2024-07-08,03:00,0.2,0.0,14,0.0,0.0,0.2
2024-07-08,04:00,0.14,0.0,16,0.0,0.0,0.14
2024-07-08,05:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-08,06:00,1.52,0.0,14,0.0,0.0,1.52
2024-07-08,07:00,1.53,0.75,16,0.75,0.0,0.78
2024-07-08,08:00,1.52,2.43,16,1.52,0.9100000000000001,0.0
2024-07-08,09:00,0.69,2.09,16,0.69,1.4,0.0
2024-07-08,10:00,0.71,4.38,16,0.71,3.67,0.0
2024-07-08,11:00,0.62,5.05,16,0.62,4.43,0.0
2024-07-08,12:00,0.43,3.28,16,0.43,2.8499999999999996,0.0
2024-07-08,13:00,0.34,5.6,16,0.34,5.26,0.0
2024-07-08,14:00,0.12,3.28,16,0.12,3.1599999999999997,0.0
2024-07-08,15:00,0.76,5.05,16,0.76,4.29,0.0
2024-07-08,16:00,0.51,0.44,16,0.44,0.0,0.07
2024-07-08,17:00,1.56,3.49,16,1.56,1.9300000000000002,0.0
2024-07-08,18:00,2.05,1.46,16,1.46,0.0,0.5899999999999999
2024-07-08,19:00,1.81,0.12,16,0.12,0.0,1.69
2024-07-08,20:00,1.91,0.0,16,0.0,0.0,1.91
2024-07-08,21:00,1.54,0.0,16,0.0,0.0,1.54
2024-07-08,22:00,0.75,0.0,16,0.0,0.0,0.75
2024-07-08,23:00,0.74,0.0,16,0.0,0.0,0.74
2024-07-09,00:00,0.14,0.0,16,0.0,0.0,0.14
2024-07-09,01:00,0.24,0.0,16,0.0,0.0,0.24
2024-07-09,02:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-09,03:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-09,04:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-09,05:00,0.07,0.0,16,0.0,0.0,0.07
2024-07-09,06:00,1.03,0.0,16,0.0,0.0,1.03
2024-07-09,07:00,2.02,0.12,16,0.12,0.0,1.9
2024-07-09,08:00,1.48,1.46,16,1.46,0.0,0.020000000000000018
2024-07-09,09:00,0.61,2.09,16,0.61,1.48,0.0
2024-07-09,10:00,0.33,2.63,16,0.33,2.3,0.0
2024-07-09,11:00,0.69,1.26,16,0.69,0.5700000000000001,0.0
2024-07-09,12:00,0.72,3.28,16,0.72,2.5599999999999996,0.0
2024-07-09,13:00,0.71,0.56,16,0.56,0.0,0.1499999999999999
2024-07-09,14:00,0.35,3.28,16,0.35,2.9299999999999997,0.0
2024-07-09,15:00,0.79,1.26,16,0.79,0.47,0.0
2024-07-09,16:00,0.44,2.63,16,0.44,2.19,0.0
2024-07-09,17:00,2.56,0.35,16,0.35,0.0,2.21
2024-07-09,18:00,1.76,2.43,16,1.76,0.6700000000000002,0.0
2024-07-09,19:00,1.88,1.25,16,1.25,0.0,0.6299999999999999
2024-07-09,20:00,1.72,0.0,16,0.0,0.0,1.72
2024-07-09,21:00,2.03,0.0,16,0.0,0.0,2.03
2024-07-09,22:00,0.64,0.0,16,0.0,0.0,0.64
2024-07-09,23:00,0.69,0.0,16,0.0,0.0,0.69
2024-07-10,00:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-10,01:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-10,02:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-10,03:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-10,04:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-10,05:00,0.13,0.0,16,0.0,0.0,0.13
2024-07-10,06:00,1.2,0.0,16,0.0,0.0,1.2
2024-07-10,07:00,1.26,1.25,16,1.25,0.0,0.010000000000000009
2024-07-10,08:00,1.5,2.43,16,1.5,0.9300000000000002,0.0
2024-07-10,09:00,0.58,3.49,16,0.58,2.91,0.0
2024-07-10,10:00,0.51,4.38,16,0.51,3.87,0.0
2024-07-10,11:00,0.48,3.03,16,0.48,2.55,0.0
2024-07-10,12:00,0.52,3.28,16,0.52,2.76,0.0
2024-07-10,13:00,0.73,5.6,16,0.73,4.869999999999999,0.0
2024-07-10,14:00,0.57,5.46,16,0.57,4.89,0.0
2024-07-10,15:00,0.43,5.05,16,0.43,4.62,0.0
2024-07-10,16:00,0.19,2.63,16,0.19,2.44,0.0
2024-07-10,17:00,1.99,3.49,16,1.99,1.5000000000000002,0.0
2024-07-10,18:00,1.64,1.46,16,1.46,0.0,0.17999999999999994
2024-07-10,19:00,2.28,1.25,16,1.25,0.0,1.0299999999999998
2024-07-10,20:00,1.97,0.0,16,0.0,0.0,1.97
2024-07-10,21:00,0.85,0.0,16,0.0,0.0,0.85
2024-07-10,22:00,0.46,0.0,16,0.0,0.0,0.46
2024-07-10,23:00,0.45,0.0,16,0.0,0.0,0.45
2024-07-11,00:00,0.27,0.0,16,0.0,0.0,0.27
2024-07-11,01:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-11,02:00,0.23,0.0,16,0.0,0.0,0.23
2024-07-11,03:00,0.11,0.0,16,0.0,0.0,0.11
2024-07-11,04:00,0.12,0.0,16,0.0,0.0,0.12
2024-07-11,05:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-11,06:00,1.95,0.0,16,0.0,0.0,1.95
2024-07-11,07:00,1.39,0.75,16,0.75,0.0,0.6399999999999999
2024-07-11,08:00,1.57,0.61,16,0.61,0.0,0.9600000000000001
2024-07-11,09:00,0.61,3.49,16,0.61,2.8800000000000003,0.0
2024-07-11,10:00,0.42,1.09,16,0.42,0.6700000000000002,0.0
2024-07-11,11:00,0.22,5.05,16,0.22,4.83,0.0
2024-07-11,12:00,0.82,3.28,16,0.82,2.46,0.0
2024-07-11,13:00,0.83,1.05,12,0.83,0.22000000000000008,0.0
2024-07-11,14:00,0.59,3.28,16,0.59,2.69,0.0
2024-07-11,15:00,0.41,5.05,16,0.41,4.64,0.0
2024-07-11,16:00,0.2,1.09,16,0.2,0.8900000000000001,0.0
2024-07-11,17:00,1.98,2.09,16,1.98,0.10999999999999988,0.0
2024-07-11,18:00,2.0,2.43,16,2.0,0.43000000000000016,0.0
2024-07-11,19:00,2.01,1.25,16,1.25,0.0,0.7599999999999998
2024-07-11,20:00,2.26,0.0,16,0.0,0.0,2.26
2024-07-11,21:00,1.78,0.0,16,0.0,0.0,1.78
2024-07-11,22:00,0.57,0.0,16,0.0,0.0,0.57
2024-07-11,23:00,0.84,0.0,16,0.0,0.0,0.84
2024-07-12,00:00,0.27,0.0,16,0.0,0.0,0.27
2024-07-12,01:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-12,02:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-12,03:00,0.28,0.0,16,0.0,0.0,0.28
2024-07-12,04:00,0.25,0.0,16,0.0,0.0,0.25
2024-07-12,05:00,0.24,0.0,16,0.0,0.0,0.24
2024-07-12,06:00,1.62,0.0,16,0.0,0.0,1.62
2024-07-12,07:00,1.61,1.25,16,1.25,0.0,0.3600000000000001
2024-07-12,08:00,1.82,1.46,16,1.46,0.0,0.3600000000000001
2024-07-12,09:00,0.61,2.09,16,0.61,1.48,0.0
2024-07-12,10:00,0.26,4.38,16,0.26,4.12,0.0
2024-07-12,11:00,0.56,5.05,16,0.56,4.49,0.0
2024-07-12,12:00,0.25,5.46,16,0.25,5.21,0.0
2024-07-12,13:00,0.18,1.4,16,0.18,1.22,0.0
2024-07-12,14:00,0.48,1.36,16,0.48,0.8800000000000001,0.0
2024-07-12,15:00,0.77,3.03,16,0.77,2.26,0.0
2024-07-12,16:00,0.66,2.63,16,0.66,1.9699999999999998,0.0
2024-07-12,17:00,2.18,3.49,16,2.18,1.31,0.0
2024-07-12,18:00,2.52,2.43,16,2.43,0.0,0.08999999999999986
2024-07-12,19:00,1.44,1.25,16,1.25,0.0,0.18999999999999995
2024-07-12,20:00,1.65,0.0,16,0.0,0.0,1.65
2024-07-12,21:00,2.23,0.0,16,0.0,0.0,2.23
2024-07-12,22:00,0.8,0.0,16,0.0,0.0,0.8
2024-07-12,23:00,0.42,0.0,16,0.0,0.0,0.42
2024-07-13,00:00,0.19,0.0,16,0.0,0.0,0.19
2024-07-13,01:00,0.26,0.0,16,0.0,0.0,0.26
2024-07-13,02:00,0.28,0.0,16,0.0,0.0,0.28
2024-07-13,03:00,0.23,0.0,16,0.0,0.0,0.23
2024-07-13,04:00,0.31,0.0,16,0.0,0.0,0.31
2024-07-13,05:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-13,06:00,1.32,0.0,14,0.0,0.0,1.32
2024-07-13,07:00,1.38,1.25,16,1.25,0.0,0.1299999999999999
2024-07-13,08:00,1.11,0.61,16,0.61,0.0,0.5000000000000001
2024-07-13,09:00,0.57,3.49,16,0.57,2.9200000000000004,0.0
2024-07-13,10:00,0.54,4.38,16,0.54,3.84,0.0
2024-07-13,11:00,0.61,5.05,16,0.61,4.4399999999999995,0.0
2024-07-13,12:00,0.72,3.28,16,0.72,2.5599999999999996,0.0
2024-07-13,13:00,0.6,5.6,16,0.6,5.0,0.0
2024-07-13,14:00,0.5,3.28,16,0.5,2.78,0.0
2024-07-13,15:00,0.51,1.26,16,0.51,0.75,0.0
2024-07-13,16:00,1.01,4.38,16,1.01,3.37,0.0
2024-07-13,17:00,2.34,3.49,16,2.34,1.1500000000000004,0.0
2024-07-13,18:00,1.14,0.53,14,0.53,0.0,0.6099999999999999
2024-07-13,19:00,2.44,1.25,16,1.25,0.0,1.19
2024-07-13,20:00,2.26,0.0,16,0.0,0.0,2.26
2024-07-13,21:00,1.03,0.0,16,0.0,0.0,1.03
2024-07-13,22:00,0.67,0.0,16,0.0,0.0,0.67
2024-07-13,23:00,0.72,0.0,16,0.0,0.0,0.72
2024-07-14,00:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-14,01:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-14,02:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-14,03:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-14,04:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-14,05:00,0.25,0.0,16,0.0,0.0,0.25
2024-07-14,06:00,1.43,0.0,16,0.0,0.0,1.43
2024-07-14,07:00,1.3,0.31,16,0.31,0.0,0.99
2024-07-14,08:00,1.29,1.46,16,1.29,0.16999999999999993,0.0
2024-07-14,09:00,0.31,2.09,16,0.31,1.7799999999999998,0.0
2024-07-14,10:00,0.66,2.63,16,0.66,1.9699999999999998,0.0
2024-07-14,11:00,0.25,3.03,16,0.25,2.78,0.0
2024-07-14,12:00,0.65,5.46,16,0.65,4.81,0.0
2024-07-14,13:00,0.55,5.6,16,0.55,5.05,0.0
2024-07-14,14:00,0.63,3.28,16,0.63,2.65,0.0
2024-07-14,15:00,0.57,1.26,16,0.57,0.6900000000000001,0.0
2024-07-14,16:00,0.65,1.09,16,0.65,0.44000000000000006,0.0
2024-07-14,17:00,2.12,2.09,16,2.09,0.0,0.03000000000000025
2024-07-14,18:00,2.17,2.43,16,2.17,0.26000000000000023,0.0
2024-07-14,19:00,2.24,0.75,16,0.75,0.0,1.4900000000000002
2024-07-14,20:00,2.53,0.0,16,0.0,0.0,2.53
2024-07-14,21:00,1.5,0.0,16,0.0,0.0,1.5
2024-07-14,22:00,0.7,0.0,16,0.0,0.0,0.7
2024-07-14,23:00,0.56,0.0,16,0.0,0.0,0.56
2024-07-15,00:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-15,01:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-15,02:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-15,03:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-15,04:00,0.17,0.0,16,0.0,0.0,0.17
2024-07-15,05:00,0.25,0.0,16,0.0,0.0,0.25
2024-07-15,06:00,1.63,0.0,16,0.0,0.0,1.63
2024-07-15,07:00,1.53,0.75,16,0.75,0.0,0.78
2024-07-15,08:00,1.2,1.46,16,1.2,0.26,0.0
2024-07-15,09:00,0.63,3.49,16,0.63,2.8600000000000003,0.0
2024-07-15,10:00,0.71,4.38,16,0.71,3.67,0.0
2024-07-15,11:00,0.39,5.05,16,0.39,4.66,0.0
2024-07-15,12:00,0.8,3.28,16,0.8,2.4799999999999995,0.0
2024-07-15,13:00,0.91,5.6,16,0.91,4.6899999999999995,0.0
2024-07-15,14:00,0.74,3.28,16,0.74,2.54,0.0
2024-07-15,15:00,-0.02,1.26,16,-0.02,1.28,0.0
2024-07-15,16:00,0.39,2.63,16,0.39,2.2399999999999998,0.0
2024-07-15,17:00,2.12,0.87,16,0.87,0.0,1.25
2024-07-15,18:00,2.68,1.46,16,1.46,0.0,1.2200000000000002
2024-07-15,19:00,1.88,0.31,16,0.31,0.0,1.5699999999999998
2024-07-15,20:00,1.76,0.0,16,0.0,0.0,1.76
2024-07-15,21:00,1.82,0.0,16,0.0,0.0,1.82
2024-07-15,22:00,0.34,0.0,16,0.0,0.0,0.34
2024-07-15,23:00,0.55,0.0,16,0.0,0.0,0.55
2024-07-16,00:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-16,01:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-16,02:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-16,03:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-16,04:00,0.1,0.0,16,0.0,0.0,0.1
2024-07-16,05:00,0.14,0.0,16,0.0,0.0,0.14
2024-07-16,06:00,1.68,0.0,16,0.0,0.0,1.68
2024-07-16,07:00,1.53,0.75,16,0.75,0.0,0.78
2024-07-16,08:00,1.55,0.24,16,0.24,0.0,1.31
2024-07-16,09:00,0.62,2.09,16,0.62,1.4699999999999998,0.0
2024-07-16,10:00,0.41,4.38,16,0.41,3.9699999999999998,0.0
2024-07-16,11:00,0.46,5.05,16,0.46,4.59,0.0
2024-07-16,12:00,0.86,3.28,16,0.86,2.42,0.0
2024-07-16,13:00,0.63,5.6,16,0.63,4.97,0.0
2024-07-16,14:00,0.55,4.1,12,0.55,3.55,0.0
2024-07-16,15:00,0.72,3.03,16,0.72,2.3099999999999996,0.0
2024-07-16,16:00,0.65,2.63,16,0.65,1.98,0.0
2024-07-16,17:00,1.42,0.87,16,0.87,0.0,0.5499999999999999
2024-07-16,18:00,2.07,2.43,16,2.07,0.3600000000000003,0.0
2024-07-16,19:00,2.03,1.25,16,1.25,0.0,0.7799999999999998
2024-07-16,20:00,2.26,0.0,16,0.0,0.0,2.26
2024-07-16,21:00,2.39,0.0,16,0.0,0.0,2.39
2024-07-16,22:00,0.73,0.0,16,0.0,0.0,0.73
2024-07-16,23:00,0.98,0.0,16,0.0,0.0,0.98
2024-07-17,00:00,0.26,0.0,16,0.0,0.0,0.26
2024-07-17,01:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-17,02:00,0.27,0.0,16,0.0,0.0,0.27
2024-07-17,03:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-17,04:00,0.1,0.0,16,0.0,0.0,0.1
2024-07-17,05:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-17,06:00,1.27,0.0,16,0.0,0.0,1.27
2024-07-17,07:00,0.81,0.12,16,0.12,0.0,0.6900000000000001
2024-07-17,08:00,0.9,0.61,16,0.61,0.0,0.29000000000000004
2024-07-17,09:00,0.43,2.09,16,0.43,1.66,0.0
2024-07-17,10:00,0.54,4.38,16,0.54,3.84,0.0
2024-07-17,11:00,0.11,3.03,16,0.11,2.92,0.0
2024-07-17,12:00,0.34,0.55,16,0.34,0.21000000000000002,0.0
2024-07-17,13:00,0.61,3.36,16,0.61,2.75,0.0
2024-07-17,14:00,0.46,1.36,16,0.46,0.9000000000000001,0.0
2024-07-17,15:00,0.31,5.05,16,0.31,4.74,0.0
2024-07-17,16:00,0.52,4.38,16,0.52,3.86,0.0
2024-07-17,17:00,1.85,3.49,16,1.85,1.6400000000000001,0.0
2024-07-17,18:00,1.68,2.43,16,1.68,0.7500000000000002,0.0
